backs,color,colorName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,preference,thisvalue,round,result,choice,question.started,question.stopped,button_1.started,button_1.stopped,button_2.started,button_2.stopped,resp_CEP.keys,resp_CEP.rt,resp_CEP.started,resp_CEP.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,红色,red,0,0,0,4,8.119143400000212,None,2,1,1,0.5,"['红色', 2]",8.638879300000553,None,8.638879300000553,None,8.638879300000553,None,n,1.4313641999997344,8.638879300000553,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
6,棕色,brown,0,1,1,27,,,1,1,1,1.5,"['黑色', 1]",10.105451299999913,None,10.105451299999913,None,10.105451299999913,None,m,0.3869422999996459,10.105451299999913,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
5,绿色,green,0,2,2,19,,,2,1,1,0.5,"['绿色', 2]",10.538883900000656,None,10.538883900000656,None,10.538883900000656,None,n,0.29960060000030353,10.538883900000656,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
2,红色,red,0,3,3,1,,,2,0.5,2,0.25,"['红色', 2]",10.87222970000039,None,10.87222970000039,None,10.87222970000039,None,n,0.22599029999946652,10.87222970000039,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
5,绿色,green,0,4,4,18,,,1,0.5,2,0.75,"['黑色', 0.5]",11.12216140000055,None,11.12216140000055,None,11.12216140000055,None,n,0.200318199999856,11.12216140000055,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
5,绿色,green,0,5,5,21,,,1,0.75,3,0.875,"['黑色', 0.75]",11.338833499999964,None,11.338833499999964,None,11.338833499999964,None,m,0.3533684000003632,11.338833499999964,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
6,棕色,brown,0,6,6,25,,,1,1.5,2,1.75,"['黑色', 1.5]",11.722270900000694,None,11.722270900000694,None,11.722270900000694,None,m,0.23800199999914184,11.722270900000694,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
6,棕色,brown,0,7,7,28,,,2,1.75,3,1.625,"['棕色', 2]",11.988761999999952,None,11.988761999999952,None,11.988761999999952,None,n,0.23960039999928995,11.988761999999952,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
6,棕色,brown,0,8,8,29,,,2,1.625,4,1.5625,"['棕色', 2]",12.255616100000225,None,12.255616100000225,None,12.255616100000225,None,n,0.22068880000006175,12.255616100000225,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
4,紫色,purple,0,9,9,15,,,2,1,1,0.5,"['紫色', 2]",12.5221947,None,12.5221947,None,12.5221947,None,m,0.30006279999997787,12.5221947,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
2,红色,red,0,10,10,5,,,2,0.25,3,0.125,"['红色', 2]",12.83882100000028,None,12.83882100000028,None,12.83882100000028,None,m,0.2294687999992675,12.83882100000028,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
6,棕色,brown,0,11,11,26,,,1,1.5625,5,1.59375,"['黑色', 1.5625]",13.105469600000106,None,13.105469600000106,None,13.105469600000106,None,m,0.16472580000026937,13.105469600000106,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
4,蓝色,blue,0,12,12,11,,,1,1,1,1.5,"['黑色', 1]",13.28882750000048,None,13.28882750000048,None,13.28882750000048,None,n,0.28550280000035855,13.28882750000048,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
4,紫色,purple,0,13,13,14,,,2,0.5,2,0.25,"['紫色', 2]",13.62223830000039,None,13.62223830000039,None,13.62223830000039,None,m,0.3079748000000109,13.62223830000039,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
4,紫色,purple,0,14,14,16,,,1,0.25,3,0.375,"['黑色', 0.25]",13.955506300000707,None,13.955506300000707,None,13.955506300000707,None,m,0.23661290000018198,13.955506300000707,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
2,红色,red,0,15,15,0,,,2,0.125,4,0.0625,"['红色', 2]",14.222109799999998,None,14.222109799999998,None,14.222109799999998,None,m,0.18215740000050573,14.222109799999998,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
4,紫色,purple,0,16,16,17,,,2,0.375,4,0.3125,"['紫色', 2]",14.438958800000364,None,14.438958800000364,None,14.438958800000364,None,n,0.25326829999994516,14.438958800000364,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
4,紫色,purple,0,17,17,12,,,2,0.3125,5,0.28125,"['紫色', 2]",14.722229800000605,None,14.722229800000605,None,14.722229800000605,None,m,0.3201030999998693,14.722229800000605,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
2,红色,red,0,18,18,3,,,2,0.0625,5,0.03125,"['红色', 2]",15.072158100000706,None,15.072158100000706,None,15.072158100000706,None,n,0.28608600000006845,15.072158100000706,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
2,红色,red,0,19,19,2,,,1,0.03125,6,0.046875,"['黑色', 0.03125]",15.388817300000483,None,15.388817300000483,None,15.388817300000483,None,m,0.2878662000002805,15.388817300000483,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
3,蓝色,blue,0,20,20,8,,,2,1.5,2,1.25,"['蓝色', 2]",15.722151599999961,None,15.722151599999961,None,15.722151599999961,None,m,0.22211349999997765,15.722151599999961,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
3,蓝色,blue,0,21,21,6,,,2,1.25,3,1.125,"['蓝色', 2]",15.97227920000023,None,15.97227920000023,None,15.97227920000023,None,n,0.28021780000017316,15.97227920000023,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
5,绿色,green,0,22,22,20,,,1,0.875,4,0.9375,"['黑色', 0.875]",16.27212800000052,None,16.27212800000052,None,16.27212800000052,None,n,0.19032270000025164,16.27212800000052,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
5,绿色,green,0,23,23,23,,,1,0.9375,5,0.96875,"['黑色', 0.9375]",16.48881900000015,None,16.48881900000015,None,16.48881900000015,None,m,0.31141569999999774,16.48881900000015,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
3,蓝色,blue,0,24,24,9,,,1,1.125,4,1.1875,"['黑色', 1.125]",16.83883970000079,None,16.83883970000079,None,16.83883970000079,None,m,0.20243519999985438,16.83883970000079,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
3,蓝色,blue,0,25,25,10,,,1,1.1875,5,1.21875,"['黑色', 1.1875]",17.072144100000514,None,17.072144100000514,None,17.072144100000514,None,n,0.2400484999998298,17.072144100000514,None,,,,001,2024_Feb_17_1218,main,2021.2.3,59.986059239848764,
